Ship Mode,Segment,Country,City,State,Postal Code,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit
Standard Class,Corporate,United States,Tempe,Arizona,85281,West,Office Supplies,Storage,79.4,5,0.2,5.955
Second Class,Home Office,United States,Yonkers,New York,10701,East,Technology,Accessories,163.96,4,0,70.5028
Standard Class,Corporate,United States,Decatur,Alabama,35601,South,Office Supplies,Art,24.78,6,0,6.9384
Standard Class,Home Office,United States,Omaha,Nebraska,68104,Central,Office Supplies,Fasteners,23.55,5,0,1.1775
Standard Class,Corporate,United States,Phoenix,Arizona,85023,West,Office Supplies,Binders,551.985,5,0.7,-459.9875
Standard Class,Corporate,United States,Clinton,Maryland,20735,East,Office Supplies,Storage,41.96,2,0,7.9724
Same Day,Consumer,United States,Newark,Delaware,19711,East,Technology,Phones,129.98,2,0,62.3904
Same Day,Consumer,United States,Rock Hill,South Carolina,29730,South,Office Supplies,Fasteners,11.85,3,0,3.792
Second Class,Corporate,United States,Inglewood,California,90301,West,Furniture,Furnishings,198.46,2,0,99.23
First Class,Corporate,United States,Odessa,Texas,79762,Central,Office Supplies,Paper,42.784,7,0.2,15.5092
Standard Class,Consumer,United States,Everett,Massachusetts,2149,East,Office Supplies,Paper,87.6,5,0,42.048
Second Class,Corporate,United States,West Allis,Wisconsin,53214,Central,Furniture,Bookcases,241.96,2,0,24.196
Second Class,Corporate,United States,Hialeah,Florida,33012,South,Furniture,Chairs,1013.832,9,0.2,101.3832
Standard Class,Home Office,United States,Chula Vista,California,91911,West,Furniture,Furnishings,665.88,6,0,106.5408
Second Class,Home Office,United States,Miami,Florida,33180,South,Technology,Phones,71.976,3,0.2,8.997
Standard Class,Home Office,United States,Manhattan,Kansas,66502,Central,Technology,Phones,273.96,2,0,10.9584
First Class,Corporate,United States,Altoona,Pennsylvania,16602,East,Office Supplies,Binders,4.419,3,0.7,-3.3879
First Class,Corporate,United States,Greensboro,North Carolina,27405,South,Furniture,Tables,523.764,3,0.4,-192.0468
Same Day,Consumer,United States,Milwaukee,Wisconsin,53209,Central,Office Supplies,Labels,25.06,2,0,11.7782
Same Day,Consumer,United States,Jacksonville,Florida,32216,South,Technology,Phones,823.96,5,0.2,51.4975
Same Day,Corporate,United States,Columbus,Ohio,43229,East,Technology,Phones,1049.97,5,0.4,-209.994
Standard Class,Consumer,United States,North Las Vegas,Nevada,89031,West,Technology,Phones,911.984,2,0.2,113.998
Second Class,Home Office,United States,Canton,Michigan,48187,Central,Office Supplies,Storage,501.81,3,0,0
First Class,Consumer,United States,Fayetteville,Arkansas,72701,South,Office Supplies,Binders,691.96,4,0,318.3016
Standard Class,Corporate,United States,Springfield,Missouri,65807,Central,Office Supplies,Paper,85.96,7,0,40.4012
Same Day,Home Office,United States,Quincy,Massachusetts,2169,East,Furniture,Furnishings,85.3,2,0,14.501
First Class,Consumer,United States,Rockford,Illinois,61107,Central,Office Supplies,Binders,33.568,8,0.8,-53.7088
Second Class,Consumer,United States,San Antonio,Texas,78207,Central,Office Supplies,Binders,3.564,3,0.8,-6.237
Same Day,Consumer,United States,Thornton,Colorado,80229,West,Technology,Accessories,447.944,7,0.2,89.5888
Standard Class,Consumer,United States,Champaign,Illinois,61821,Central,Furniture,Furnishings,151.96,5,0.6,-182.352
Second Class,Consumer,United States,Lawrence,Indiana,46226,Central,Technology,Accessories,155.34,6,0,55.9224
Second Class,Consumer,United States,Johnson City,Tennessee,37604,South,Office Supplies,Envelopes,23.472,3,0.2,7.6284
First Class,Corporate,United States,Decatur,Illinois,62521,Central,Office Supplies,Storage,49.632,4,0.2,3.7224
Standard Class,Consumer,United States,Gilbert,Arizona,85234,West,Office Supplies,Paper,9.568,2,0.2,2.99
Standard Class,Corporate,United States,Knoxville,Tennessee,37918,South,Office Supplies,Art,4.368,3,0.2,0.3822
Second Class,Consumer,United States,Bloomington,Indiana,47401,Central,Technology,Phones,134.85,3,0,37.758
Standard Class,Home Office,United States,Bolingbrook,Illinois,60440,Central,Office Supplies,Binders,9.98,5,0.8,-16.467
Standard Class,Home Office,United States,Texarkana,Arkansas,71854,South,Technology,Accessories,48.9,5,0,18.093
Standard Class,Consumer,United States,Edinburg,Texas,78539,Central,Office Supplies,Fasteners,2.368,2,0.2,0.8288
Standard Class,Corporate,United States,Baytown,Texas,77520,Central,Office Supplies,Paper,10.368,2,0.2,3.6288
First Class,Consumer,United States,Pearland,Texas,77581,Central,Technology,Phones,470.376,3,0.2,52.9173
Standard Class,Corporate,United States,Chesapeake,Virginia,23320,South,Office Supplies,Storage,61.68,4,0,16.6536
First Class,Consumer,United States,Harlingen,Texas,78550,Central,Furniture,Bookcases,241.332,5,0.32,-14.196
Standard Class,Consumer,United States,Bakersfield,California,93309,West,Office Supplies,Art,9.4,5,0,2.726
Same Day,Consumer,United States,Greenwood,Indiana,46142,Central,Furniture,Chairs,1424.9,5,0,356.225
Standard Class,Consumer,United States,Buffalo,New York,14215,East,Office Supplies,Supplies,835.17,7,0,16.7034
Standard Class,Consumer,United States,Homestead,Florida,33030,South,Office Supplies,Paper,44.384,1,0.2,15.5344
Second Class,Consumer,United States,Freeport,New York,11520,East,Office Supplies,Binders,17.248,2,0.2,6.0368
Second Class,Corporate,United States,Asheville,North Carolina,28806,South,Office Supplies,Art,7.872,3,0.2,0.8856
First Class,Home Office,United States,Colorado Springs,Colorado,80906,West,Office Supplies,Binders,40.635,7,0.7,-32.508
Second Class,Home Office,United States,Sterling Heights,Michigan,48310,Central,Office Supplies,Art,79.36,4,0,20.6336
Standard Class,Consumer,United States,Lakewood,California,90712,West,Furniture,Bookcases,257.499,3,0.15,24.2352
Standard Class,Corporate,United States,Columbia,Tennessee,38401,South,Furniture,Furnishings,79.12,5,0.2,13.846
Second Class,Consumer,United States,Woonsocket,Rhode Island,2895,East,Furniture,Furnishings,52.96,2,0,20.1248
Standard Class,Consumer,United States,Kenosha,Wisconsin,53142,Central,Furniture,Bookcases,512.94,3,0,97.4586
Second Class,Corporate,United States,Port Saint Lucie,Florida,34952,South,Furniture,Bookcases,231.92,5,0.2,5.798
Standard Class,Home Office,United States,Superior,Wisconsin,54880,Central,Office Supplies,Art,17.12,4,0,4.9648
Standard Class,Consumer,United States,Chester,Pennsylvania,19013,East,Furniture,Chairs,170.058,3,0.3,-4.8588
First Class,Corporate,United States,Bedford,Texas,76021,Central,Office Supplies,Paper,29.664,4,0.2,10.0116
Standard Class,Home Office,United States,Covington,Washington,98042,West,Office Supplies,Appliances,236.88,6,0,66.3264
Same Day,Corporate,United States,Lorain,Ohio,44052,East,Office Supplies,Binders,18.693,3,0.7,-14.3313
First Class,Consumer,United States,Concord,North Carolina,28027,South,Office Supplies,Art,20.016,9,0.2,1.7514
Second Class,Home Office,United States,Indianapolis,Indiana,46203,Central,Technology,Copiers,999.98,2,0,449.991
First Class,Home Office,United States,Broken Arrow,Oklahoma,74012,Central,Technology,Phones,821.94,6,0,213.7044
Standard Class,Consumer,United States,Miramar,Florida,33023,South,Furniture,Furnishings,220.064,4,0.2,55.016
Second Class,Corporate,United States,Omaha,Nebraska,68104,Central,Office Supplies,Binders,7.04,2,0,3.3088
Standard Class,Corporate,United States,Tigard,Oregon,97224,West,Office Supplies,Paper,60.048,9,0.2,22.518
Standard Class,Corporate,United States,Decatur,Illinois,62521,Central,Office Supplies,Binders,182.994,3,0.8,-320.2395
First Class,Home Office,United States,Phoenix,Arizona,85023,West,Office Supplies,Binders,7.857,3,0.7,-6.0237
Second Class,Corporate,United States,Sacramento,California,95823,West,Technology,Phones,302.384,2,0.2,30.2384
First Class,Consumer,United States,Akron,Ohio,44312,East,Office Supplies,Storage,221.024,2,0.2,-55.256
Standard Class,Consumer,United States,Florence,Kentucky,41042,South,Technology,Machines,3080,7,0,1416.8
Same Day,Home Office,United States,Fremont,Nebraska,68025,Central,Furniture,Furnishings,15.92,2,0,7.0048
Standard Class,Corporate,United States,Watertown,New York,13601,East,Office Supplies,Appliances,35.91,3,0,9.6957
Standard Class,Consumer,United States,Hollywood,Florida,33021,South,Office Supplies,Paper,11.952,3,0.2,4.0338
First Class,Corporate,United States,Deer Park,Texas,77536,Central,Office Supplies,Binders,6.924,6,0.8,-10.386
Standard Class,Consumer,United States,Wichita,Kansas,67212,Central,Office Supplies,Labels,18.9,3,0,8.694
Standard Class,Consumer,United States,Dover,New Hampshire,3820,East,Office Supplies,Labels,16.52,4,0,7.5992
First Class,Corporate,United States,Aurora,Colorado,80013,West,Technology,Accessories,169.064,7,0.2,-14.7931
First Class,Home Office,United States,Mesa,Arizona,85204,West,Office Supplies,Paper,31.104,6,0.2,10.8864
Standard Class,Consumer,United States,Fresno,California,93727,West,Office Supplies,Storage,48.86,7,0,0.9772
First Class,Home Office,United States,Santa Ana,California,92704,West,Office Supplies,Art,56.3,2,0,15.764
First Class,Corporate,United States,Franklin,Massachusetts,2038,East,Furniture,Bookcases,81.94,1,0,20.485
Standard Class,Corporate,United States,Mcallen,Texas,78501,Central,Office Supplies,Binders,6.874,7,0.8,-10.6547
Second Class,Corporate,United States,Iowa City,Iowa,52240,Central,Office Supplies,Paper,9.99,1,0,4.4955
Standard Class,Corporate,United States,Boise,Idaho,83704,West,Furniture,Tables,696.42,2,0,160.1766
Same Day,Home Office,United States,New York City,New York,10024,East,Office Supplies,Labels,7.31,1,0,3.4357
Second Class,Consumer,United States,Cranston,Rhode Island,2920,East,Office Supplies,Art,49.25,5,0,18.715
Second Class,Consumer,United States,Richmond,Kentucky,40475,South,Office Supplies,Paper,9.42,3,0,4.239
Standard Class,Consumer,United States,Mount Vernon,New York,10550,East,Office Supplies,Envelopes,62.28,4,0,29.2716
First Class,Consumer,United States,Quincy,Illinois,62301,Central,Office Supplies,Binders,1.964,2,0.8,-3.2406
First Class,Corporate,United States,Richmond,Indiana,47374,Central,Office Supplies,Paper,22.48,1,0,10.3408
First Class,Home Office,United States,Springfield,Virginia,22153,South,Technology,Phones,149.97,3,0,5.9988
Standard Class,Home Office,United States,Baltimore,Maryland,21215,East,Office Supplies,Art,1.64,1,0,0.738
Same Day,Consumer,United States,Lakeland,Florida,33801,South,Technology,Phones,55.944,7,0.2,-13.2867
First Class,Consumer,United States,Freeport,Illinois,61032,Central,Office Supplies,Paper,63.312,3,0.2,20.5764
Standard Class,Corporate,United States,Medford,Oregon,97504,West,Office Supplies,Binders,9.762,2,0.7,-6.8334
Second Class,Corporate,United States,Fairfield,Connecticut,6824,East,Office Supplies,Labels,13.05,5,0,6.003
Standard Class,Consumer,United States,Moorhead,Minnesota,56560,Central,Technology,Accessories,63.96,4,0,19.8276
Standard Class,Corporate,United States,Jackson,Tennessee,38301,South,Furniture,Furnishings,692.472,11,0.2,190.4298
Second Class,Corporate,United States,Baltimore,Maryland,21215,East,Furniture,Furnishings,207.76,4,0,85.1816
Same Day,Consumer,United States,Murray,Utah,84107,West,Technology,Phones,71.928,9,0.2,6.2937
First Class,Consumer,United States,Indianapolis,Indiana,46203,Central,Office Supplies,Labels,3.69,1,0,1.7343
Second Class,Corporate,United States,Port Arthur,Texas,77642,Central,Furniture,Bookcases,246.1328,2,0.32,-76.0116
Standard Class,Home Office,United States,Nashville,Tennessee,37211,South,Office Supplies,Storage,64.784,1,0.2,-12.9568
Standard Class,Corporate,United States,Redmond,Oregon,97756,West,Furniture,Tables,177.225,5,0.5,-120.513
Standard Class,Consumer,United States,Citrus Heights,California,95610,West,Furniture,Furnishings,129.39,3,0,54.3438
Second Class,Consumer,United States,Tallahassee,Florida,32303,South,Technology,Phones,4367.896,13,0.2,327.5922
Second Class,Home Office,United States,Lakewood,Ohio,44107,East,Office Supplies,Art,3.912,1,0.2,1.0269
Same Day,Consumer,United States,The Colony,Texas,75056,Central,Office Supplies,Envelopes,59.752,7,0.2,19.4194
Second Class,Consumer,United States,Albuquerque,New Mexico,87105,West,Technology,Phones,23.976,3,0.2,-5.6943
First Class,Corporate,United States,Plainfield,New Jersey,7060,East,Office Supplies,Art,9.21,3,0,2.3025
Standard Class,Consumer,United States,Redmond,Washington,98052,West,Technology,Accessories,19.99,1,0,6.7966
Standard Class,Consumer,United States,Daytona Beach,Florida,32114,South,Technology,Accessories,50.88,6,0.2,14.628
Standard Class,Consumer,United States,Bullhead City,Arizona,86442,West,Office Supplies,Envelopes,7.92,1,0.2,2.772
Standard Class,Consumer,United States,Franklin,Tennessee,37064,South,Office Supplies,Paper,5.184,1,0.2,1.8144
Same Day,Consumer,United States,Portage,Indiana,46368,Central,Office Supplies,Art,16.28,2,0,6.512
Standard Class,Consumer,United States,Lancaster,Ohio,43130,East,Office Supplies,Storage,16.768,2,0.2,1.4672
Second Class,Consumer,United States,Clarksville,Tennessee,37042,South,Office Supplies,Binders,1598.058,7,0.7,-1065.372
Same Day,Consumer,United States,Aurora,Illinois,60505,Central,Office Supplies,Paper,10.368,2,0.2,3.6288
First Class,Corporate,United States,Warwick,Rhode Island,2886,East,Office Supplies,Paper,111.96,2,0,54.8604
Second Class,Consumer,United States,Fargo,North Dakota,58103,Central,Office Supplies,Art,131.94,3,0,35.6238
Standard Class,Home Office,United States,Lawrence,Indiana,46226,Central,Office Supplies,Binders,104.9,5,0,50.352
Second Class,Consumer,United States,Elkhart,Indiana,46514,Central,Office Supplies,Art,11.68,2,0,5.4896
Standard Class,Corporate,United States,Kent,Ohio,44240,East,Office Supplies,Appliances,103.968,6,0.2,16.8948
Standard Class,Home Office,United States,San Gabriel,California,91776,West,Furniture,Furnishings,303.25,5,0,63.6825
Standard Class,Consumer,United States,Highland Park,Illinois,60035,Central,Office Supplies,Binders,2.88,5,0.8,-4.464
Same Day,Consumer,United States,Springfield,Ohio,45503,East,Office Supplies,Storage,25.984,1,0.2,-5.1968
Same Day,Consumer,United States,Columbia,Maryland,21044,East,Office Supplies,Envelopes,199.9,5,0,89.955
First Class,Consumer,United States,Colorado Springs,Colorado,80906,West,Office Supplies,Art,11.328,2,0.2,2.5488
Standard Class,Consumer,United States,Margate,Florida,33063,South,Office Supplies,Art,15.552,3,0.2,2.3328
First Class,Corporate,United States,Sandy Springs,Georgia,30328,South,Office Supplies,Appliances,17.24,2,0,4.4824
Same Day,Consumer,United States,Orange,New Jersey,7050,East,Office Supplies,Art,70.95,3,0,18.447
Standard Class,Consumer,United States,Port Arthur,Texas,77642,Central,Office Supplies,Paper,10.368,2,0.2,3.6288
Standard Class,Consumer,United States,Westland,Michigan,48185,Central,Technology,Accessories,109.95,1,0,36.2835
Standard Class,Home Office,United States,Bloomington,Indiana,47401,Central,Office Supplies,Envelopes,78.35,5,0,36.8245
First Class,Home Office,United States,Aurora,Colorado,80013,West,Furniture,Furnishings,32.776,1,0.2,3.2776
Same Day,Home Office,United States,Mentor,Ohio,44060,East,Furniture,Chairs,63.686,1,0.3,-15.4666
Same Day,Consumer,United States,Lawton,Oklahoma,73505,Central,Office Supplies,Storage,333.09,3,0,23.3163
Standard Class,Corporate,United States,Bakersfield,California,93309,West,Office Supplies,Paper,12.96,2,0,6.2208
Second Class,Consumer,United States,Hampton,Virginia,23666,South,Furniture,Chairs,290.98,1,0,75.6548
Standard Class,Home Office,United States,Tulsa,Oklahoma,74133,Central,Office Supplies,Art,36.44,4,0,12.0252
Standard Class,Corporate,United States,Richmond,Indiana,47374,Central,Technology,Accessories,62.31,3,0,22.4316
Second Class,Corporate,United States,Louisville,Colorado,80027,West,Office Supplies,Fasteners,9.432,3,0.2,3.0654
Standard Class,Home Office,United States,Rome,New York,13440,East,Technology,Phones,269.98,2,0,67.495
Second Class,Corporate,United States,Marion,Ohio,43302,East,Technology,Accessories,116.832,4,0.2,33.5892
Same Day,Home Office,United States,Manteca,California,95336,West,Furniture,Chairs,122.352,3,0.2,13.7646
Standard Class,Corporate,United States,Providence,Rhode Island,2908,East,Technology,Phones,105.98,2,0,1.0598
First Class,Consumer,United States,Oklahoma City,Oklahoma,73120,Central,Office Supplies,Envelopes,325.86,2,0,149.8956
First Class,Consumer,United States,Manchester,Connecticut,6040,East,Office Supplies,Labels,5.76,2,0,2.8224
Second Class,Consumer,United States,La Crosse,Wisconsin,54601,Central,Office Supplies,Binders,56.82,3,0,28.41
First Class,Consumer,United States,Florence,South Carolina,29501,South,Office Supplies,Fasteners,31.56,4,0,14.202
Standard Class,Corporate,United States,El Paso,Texas,79907,Central,Office Supplies,Envelopes,49.568,2,0.2,17.9684
First Class,Consumer,United States,San Antonio,Texas,78207,Central,Furniture,Chairs,127.869,3,0.3,-9.1335
Standard Class,Home Office,United States,Miramar,Florida,33023,South,Furniture,Chairs,419.136,4,0.2,-57.6312
Second Class,Home Office,United States,San Jose,California,95123,West,Furniture,Furnishings,76.14,3,0,26.649
Second Class,Home Office,United States,Wichita,Kansas,67212,Central,Office Supplies,Art,21.24,3,0,8.0712
Standard Class,Consumer,United States,Lewiston,Idaho,83501,West,Office Supplies,Binders,9.584,1,0.2,3.3544
Standard Class,Home Office,United States,Hampton,Virginia,23666,South,Office Supplies,Binders,113.1,3,0,56.55
Standard Class,Corporate,United States,Hattiesburg,Mississippi,39401,South,Technology,Accessories,239.7,6,0,105.468
Second Class,Home Office,United States,Danville,California,94526,West,Office Supplies,Envelopes,76.58,7,0,38.29
Second Class,Home Office,United States,Jacksonville,North Carolina,28540,South,Office Supplies,Paper,18.272,1,0.2,5.9384
Standard Class,Consumer,United States,Oceanside,California,92054,West,Furniture,Furnishings,47.12,8,0,20.7328
Standard Class,Home Office,United States,Everett,Massachusetts,2149,East,Technology,Phones,589.9,2,0,147.475
Second Class,Corporate,United States,Wilmington,Delaware,19805,East,Office Supplies,Storage,77.55,5,0,21.714
Same Day,Consumer,United States,Mount Pleasant,Michigan,48858,Central,Furniture,Furnishings,17.14,2,0,6.1704
Second Class,Consumer,United States,Fort Collins,Colorado,80525,West,Office Supplies,Binders,3.168,4,0.7,-2.5344
Standard Class,Corporate,United States,Richmond,Virginia,23223,South,Office Supplies,Paper,13.62,3,0,6.129
Standard Class,Home Office,United States,Perth Amboy,New Jersey,8861,East,Office Supplies,Paper,11.76,2,0,5.7624
Standard Class,Corporate,United States,Freeport,Illinois,61032,Central,Office Supplies,Storage,45.248,2,0.2,3.9592
Standard Class,Consumer,United States,Logan,Utah,84321,West,Office Supplies,Binders,33.088,4,0.2,11.1672
Same Day,Consumer,United States,Raleigh,North Carolina,27604,South,Technology,Phones,863.928,9,0.2,86.3928
First Class,Consumer,United States,Tucson,Arizona,85705,West,Furniture,Furnishings,51.968,2,0.2,10.3936
Same Day,Consumer,United States,Detroit,Michigan,48205,Central,Office Supplies,Binders,29.52,4,0,14.4648
Standard Class,Home Office,United States,Austin,Texas,78745,Central,Office Supplies,Art,5.248,2,0.2,0.5904
First Class,Consumer,United States,Waterbury,Connecticut,6708,East,Office Supplies,Supplies,65.17,7,0,18.8993
First Class,Consumer,United States,Portland,Oregon,97206,West,Technology,Phones,344.704,2,0.2,38.7792
Standard Class,Consumer,United States,Louisville,Colorado,80027,West,Technology,Phones,201.584,2,0.2,20.1584
Second Class,Consumer,United States,Aurora,Illinois,60505,Central,Furniture,Tables,268.935,3,0.5,-209.7693
Same Day,Consumer,United States,Athens,Georgia,30605,South,Office Supplies,Labels,14.73,3,0,7.2177
Standard Class,Home Office,United States,Apopka,Florida,32712,South,Office Supplies,Binders,9.888,2,0.7,-6.9216
Standard Class,Home Office,United States,Lewiston,Maine,4240,East,Office Supplies,Binders,8.26,2,0,3.8822
Same Day,Consumer,United States,Rochester,Minnesota,55901,Central,Office Supplies,Fasteners,7.9,2,0,2.528
First Class,Corporate,United States,Spokane,Washington,99207,West,Technology,Machines,837.6,3,0.2,62.82
Standard Class,Consumer,United States,Jackson,Tennessee,38301,South,Furniture,Chairs,209.568,2,0.2,-23.5764
Standard Class,Home Office,United States,Danville,Illinois,61832,Central,Office Supplies,Binders,43.372,7,0.8,-69.3952
Standard Class,Consumer,United States,Chula Vista,California,91911,West,Office Supplies,Envelopes,182.94,3,0,85.9818
Same Day,Consumer,United States,Jacksonville,North Carolina,28540,South,Office Supplies,Paper,25.344,4,0.2,9.1872
Second Class,Consumer,United States,Avondale,Arizona,85323,West,Technology,Phones,742.336,8,0.2,83.5128
Standard Class,Home Office,United States,Escondido,California,92025,West,Office Supplies,Art,23.36,4,0,6.0736
Second Class,Corporate,United States,Long Beach,New York,11561,East,Office Supplies,Labels,8.67,3,0,4.0749
First Class,Consumer,United States,Buffalo,New York,14215,East,Furniture,Chairs,63.882,1,0.1,10.647
Standard Class,Consumer,United States,Marietta,Georgia,30062,South,Office Supplies,Binders,5.64,3,0,2.7072
First Class,Consumer,United States,Eau Claire,Wisconsin,54703,Central,Office Supplies,Paper,195.64,4,0,91.9508
Standard Class,Consumer,United States,Norwich,Connecticut,6360,East,Office Supplies,Binders,10.36,2,0,5.0764
Same Day,Home Office,United States,Yuma,Arizona,85364,West,Office Supplies,Binders,44.856,6,0.7,-35.8848
Standard Class,Consumer,United States,Wausau,Wisconsin,54401,Central,Office Supplies,Appliances,245.88,6,0,68.8464
Standard Class,Home Office,United States,Henderson,Kentucky,42420,South,Furniture,Furnishings,27.58,2,0,11.5836
First Class,Consumer,United States,Lakewood,New Jersey,8701,East,Office Supplies,Fasteners,14.96,4,0,0.2992
Second Class,Corporate,United States,Salem,Oregon,97301,West,Technology,Phones,263.96,5,0.2,19.797
Standard Class,Consumer,United States,Pasco,Washington,99301,West,Office Supplies,Art,5.88,2,0,2.646
Second Class,Consumer,United States,Oakland,California,94601,West,Furniture,Furnishings,12.54,3,0,4.5144
Standard Class,Corporate,United States,Oak Park,Illinois,60302,Central,Office Supplies,Art,10.192,7,0.2,1.0192
Standard Class,Corporate,United States,Morristown,New Jersey,7960,East,Office Supplies,Binders,1793.98,2,0,843.1706
Standard Class,Home Office,United States,Durham,North Carolina,27707,South,Office Supplies,Storage,61.568,2,0.2,4.6176
First Class,Consumer,United States,Pensacola,Florida,32503,South,Office Supplies,Binders,2.214,3,0.7,-1.476
Second Class,Corporate,United States,Marietta,Georgia,30062,South,Furniture,Chairs,182.67,3,0,52.9743
First Class,Consumer,United States,Parma,Ohio,44134,East,Furniture,Chairs,183.372,2,0.3,-7.8588
Standard Class,Corporate,United States,Anaheim,California,92804,West,Office Supplies,Storage,481.32,4,0,125.1432
Second Class,Corporate,United States,Concord,New Hampshire,3301,East,Office Supplies,Binders,22.92,4,0,11.0016
Second Class,Consumer,United States,Fairfield,Ohio,45014,East,Office Supplies,Binders,11.808,8,0.7,-8.6592
Second Class,Consumer,United States,League City,Texas,77573,Central,Office Supplies,Art,67.144,7,0.2,5.8751
Standard Class,Corporate,United States,Gaithersburg,Maryland,20877,East,Furniture,Bookcases,173.94,3,0,38.2668
Second Class,Home Office,United States,Huntsville,Alabama,35810,South,Office Supplies,Paper,96.08,2,0,46.1184
First Class,Corporate,United States,Lawrence,Massachusetts,1841,East,Office Supplies,Art,14.88,2,0,3.72
Standard Class,Home Office,United States,Fairfield,Connecticut,6824,East,Office Supplies,Paper,19.44,3,0,9.3312
Standard Class,Corporate,United States,Lehi,Utah,84043,West,Technology,Phones,16.776,3,0.2,1.6776
Standard Class,Home Office,United States,Tuscaloosa,Alabama,35401,South,Office Supplies,Binders,33.74,7,0,15.5204
First Class,Consumer,United States,Redondo Beach,California,90278,West,Office Supplies,Paper,96.08,2,0,46.1184
Second Class,Corporate,United States,North Las Vegas,Nevada,89031,West,Office Supplies,Art,18.06,7,0,4.6956
Standard Class,Consumer,United States,Carrollton,Texas,75007,Central,Office Supplies,Binders,2.512,2,0.8,-4.396
Second Class,Consumer,United States,Fort Lauderdale,Florida,33311,South,Office Supplies,Binders,7.764,4,0.7,-5.176
Second Class,Corporate,United States,Columbia,Tennessee,38401,South,Technology,Phones,467.04,4,0.2,58.38
Second Class,Home Office,United States,Providence,Rhode Island,2908,East,Technology,Phones,128.85,3,0,3.8655
First Class,Corporate,United States,Jacksonville,Florida,32216,South,Furniture,Chairs,207.984,2,0.2,-28.5978
Standard Class,Home Office,United States,Oceanside,California,92054,West,Office Supplies,Paper,12.9,2,0,6.321
Standard Class,Corporate,United States,Nashville,Tennessee,37211,South,Office Supplies,Fasteners,7.24,5,0.2,1.1765
Standard Class,Home Office,United States,Colorado Springs,Colorado,80906,West,Office Supplies,Paper,15.552,3,0.2,5.4432
Standard Class,Corporate,United States,Memphis,Tennessee,38109,South,Office Supplies,Envelopes,55.936,8,0.2,18.8784
Standard Class,Corporate,United States,Raleigh,North Carolina,27604,South,Office Supplies,Appliances,48.784,1,0.2,3.6588
Same Day,Home Office,United States,Newport News,Virginia,23602,South,Office Supplies,Supplies,69.5,5,0,20.155
Second Class,Corporate,United States,Richmond,Indiana,47374,Central,Office Supplies,Storage,714.3,5,0,207.147
First Class,Corporate,United States,Phoenix,Arizona,85023,West,Furniture,Bookcases,209.979,7,0.7,-356.9643
Standard Class,Home Office,United States,Cleveland,Ohio,44105,East,Office Supplies,Binders,33.93,3,0.7,-22.62
Standard Class,Consumer,United States,Toledo,Ohio,43615,East,Furniture,Furnishings,35.168,7,0.2,9.6712
Standard Class,Corporate,United States,Vineland,New Jersey,8360,East,Furniture,Chairs,212.94,3,0,25.5528
Second Class,Consumer,United States,Naperville,Illinois,60540,Central,Technology,Accessories,239.96,5,0.2,83.986
First Class,Corporate,United States,Wilmington,Delaware,19805,East,Furniture,Tables,199.836,4,0.3,-37.1124
Standard Class,Home Office,United States,Des Moines,Washington,98198,West,Office Supplies,Paper,18.54,2,0,8.7138
Same Day,Consumer,United States,Atlanta,Georgia,30318,South,Office Supplies,Paper,195.64,4,0,91.9508
First Class,Consumer,United States,Moreno Valley,California,92553,West,Office Supplies,Paper,26.4,5,0,11.88
Second Class,Consumer,United States,Georgetown,Kentucky,40324,South,Technology,Phones,699.98,2,0,195.9944
Standard Class,Consumer,United States,Burlington,North Carolina,27217,South,Technology,Accessories,383.976,3,0.2,81.5949
Standard Class,Home Office,United States,Trenton,Michigan,48183,Central,Technology,Copiers,549.99,1,0,274.995
Same Day,Home Office,United States,Cleveland,Ohio,44105,East,Office Supplies,Paper,20.736,4,0.2,7.2576
Standard Class,Consumer,United States,Monroe,North Carolina,28110,South,Technology,Accessories,35.168,4,0.2,8.3524
First Class,Corporate,United States,Loveland,Colorado,80538,West,Office Supplies,Paper,7.968,2,0.2,2.8884
Standard Class,Consumer,United States,Loveland,Colorado,80538,West,Office Supplies,Fasteners,3.024,3,0.2,-0.6048
Standard Class,Corporate,United States,Woonsocket,Rhode Island,2895,East,Office Supplies,Storage,51.45,3,0,13.8915
Standard Class,Consumer,United States,Deltona,Florida,32725,South,Furniture,Chairs,186.304,4,0.2,13.9728
First Class,Home Office,United States,Nashville,Tennessee,37211,South,Office Supplies,Art,42.048,9,0.2,5.256
Same Day,Consumer,United States,Chicago,Illinois,60610,Central,Furniture,Furnishings,17.496,9,0.6,-7.4358
Standard Class,Corporate,United States,Lafayette,Louisiana,70506,South,Office Supplies,Storage,232.55,5,0,9.302
Standard Class,Corporate,United States,Oklahoma City,Oklahoma,73120,Central,Furniture,Furnishings,30.36,4,0,13.0548
Standard Class,Home Office,United States,Chandler,Arizona,85224,West,Furniture,Furnishings,8.544,4,0.2,1.9224
Same Day,Consumer,United States,Long Beach,New York,11561,East,Technology,Phones,1214.85,3,0,352.3065
First Class,Corporate,United States,Helena,Montana,59601,West,Office Supplies,Storage,39.9,5,0,10.374
First Class,Consumer,United States,Kirkwood,Missouri,63122,Central,Office Supplies,Binders,28.4,4,0,13.064
Second Class,Corporate,United States,Peoria,Arizona,85345,West,Technology,Phones,105.584,2,0.2,9.2386
Second Class,Consumer,United States,Taylor,Michigan,48180,Central,Furniture,Chairs,301.96,2,0,33.2156
